epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2943,1.90008,3.63601,1.81138,0.02251,0.33968,0.20434,0.09972,1.78957,3.51616,1.82122,0.000218747,0.000218747,0.000218747
2,48.1722,1.86923,2.28432,1.73059,0.77861,0.32842,0.36711,0.17094,1.90844,2.00639,1.89365,0.000426525,0.000426525,0.000426525
3,69.6032,1.81593,1.80431,1.71402,0.75598,0.34704,0.37124,0.15909,2.02232,1.72747,1.96426,0.000619629,0.000619629,0.000619629
4,90.3842,1.78873,1.65662,1.68432,0.67233,0.37026,0.41533,0.19665,1.88227,1.56605,1.8574,0.000600967,0.000600967,0.000600967
5,110.931,1.73789,1.54938,1.65928,0.75738,0.35967,0.42594,0.20467,1.81028,1.54725,1.8541,0.000578956,0.000578956,0.000578956
6,131.77,1.71055,1.48749,1.61259,0.62817,0.41182,0.42502,0.20984,1.81551,1.47712,1.80326,0.000556945,0.000556945,0.000556945
7,152.958,1.68686,1.43001,1.58376,0.75522,0.40506,0.43982,0.21675,1.82246,1.39621,1.82543,0.000534934,0.000534934,0.000534934
8,174.047,1.6795,1.39979,1.59458,0.65847,0.42817,0.44723,0.21726,1.80812,1.39382,1.82597,0.000512923,0.000512923,0.000512923
9,195.249,1.65302,1.35142,1.56717,0.76978,0.40459,0.45918,0.22494,1.79735,1.3597,1.79071,0.000490912,0.000490912,0.000490912
10,216.222,1.64959,1.35428,1.56735,0.64534,0.44156,0.46388,0.22968,1.76918,1.33516,1.7713,0.000468901,0.000468901,0.000468901
11,237.113,1.64209,1.35608,1.56923,0.76702,0.41969,0.45401,0.2196,1.84112,1.36233,1.85568,0.00044689,0.00044689,0.00044689
12,257.939,1.60667,1.28983,1.54453,0.69836,0.4234,0.45991,0.22765,1.77467,1.30974,1.78617,0.000424879,0.000424879,0.000424879
13,278.252,1.62622,1.31172,1.56348,0.70455,0.43588,0.47259,0.231,1.78807,1.28169,1.76228,0.000402868,0.000402868,0.000402868
14,297.941,1.5703,1.25568,1.52372,0.69732,0.43364,0.47293,0.23407,1.77663,1.26921,1.75143,0.000380857,0.000380857,0.000380857
15,317.751,1.58316,1.23887,1.52917,0.68982,0.45593,0.48759,0.24431,1.7179,1.25434,1.71808,0.000358846,0.000358846,0.000358846
16,337.535,1.56269,1.21891,1.51306,0.60542,0.47204,0.48413,0.23967,1.76566,1.24073,1.75285,0.000336835,0.000336835,0.000336835
17,358.456,1.5349,1.16308,1.48181,0.61493,0.4424,0.46923,0.23165,1.81604,1.25614,1.80757,0.000314824,0.000314824,0.000314824
18,379.36,1.56509,1.20088,1.5028,0.60643,0.46462,0.48518,0.24136,1.75151,1.2154,1.7355,0.000292813,0.000292813,0.000292813
19,399.933,1.5124,1.14389,1.46811,0.67018,0.47103,0.50152,0.24612,1.74787,1.20815,1.74596,0.000270802,0.000270802,0.000270802
20,420.596,1.50834,1.15005,1.48323,0.63212,0.4744,0.49577,0.24523,1.7474,1.17881,1.74749,0.000248791,0.000248791,0.000248791
21,467.23,1.51573,1.17027,1.55054,0.62687,0.4666,0.4926,0.24582,1.74946,1.21114,1.74877,0.00022678,0.00022678,0.00022678
22,488.066,1.4853,1.11118,1.52581,0.62906,0.4835,0.50414,0.25278,1.74819,1.19089,1.75009,0.000204769,0.000204769,0.000204769
23,508.746,1.47635,1.09161,1.52105,0.709,0.49149,0.51964,0.25801,1.71054,1.15811,1.71674,0.000182758,0.000182758,0.000182758
24,529.653,1.45479,1.05458,1.49917,0.70701,0.47945,0.51933,0.25545,1.73689,1.15661,1.73655,0.000160747,0.000160747,0.000160747
25,2241.06,1.44278,1.04392,1.4918,0.68992,0.49568,0.52419,0.259,1.71845,1.12844,1.72598,0.000138736,0.000138736,0.000138736
26,2257.73,1.43757,1.02788,1.48819,0.6644,0.48341,0.51078,0.2519,1.74416,1.13586,1.74739,0.000116725,0.000116725,0.000116725
27,2274.44,1.40794,1.00268,1.46772,0.69548,0.50022,0.52349,0.25898,1.72349,1.1118,1.7261,9.4714e-05,9.4714e-05,9.4714e-05
28,2291.19,1.39929,0.99702,1.46534,0.66991,0.4989,0.5252,0.25772,1.71517,1.11716,1.71982,7.2703e-05,7.2703e-05,7.2703e-05
29,2307.98,1.38916,0.97973,1.45852,0.66231,0.49568,0.52603,0.26064,1.70786,1.11644,1.72095,5.0692e-05,5.0692e-05,5.0692e-05
30,2324.65,1.38313,0.97578,1.46062,0.68466,0.50273,0.53084,0.26167,1.70781,1.10391,1.72193,2.8681e-05,2.8681e-05,2.8681e-05
