iter	Passed	Remaining
0	200	1003909
1	236	591919
2	277	463053
3	320	400035
4	358	358344
5	405	337227
6	453	323652
7	493	308203
8	537	297804
9	583	290987
10	632	286837
11	678	281981
12	720	276423
13	759	270543
14	801	266368
15	844	262960
16	884	259385
17	926	256482
18	967	253717
19	1007	250809
20	1051	249350
21	1093	247385
22	1160	251092
23	1201	249202
24	1243	247531
25	1284	245821
26	1324	243975
27	1344	238775
28	1387	237847
29	1429	236808
30	1471	235870
31	1519	235951
32	1564	235441
33	1607	234853
34	1652	234487
35	1692	233346
36	1736	232952
37	1780	232479
38	1840	234102
39	1882	233388
40	1921	232446
41	1964	231906
42	2004	231095
43	2043	230196
44	2084	229523
45	2122	228558
46	2173	229052
47	2213	228332
48	2250	227358
49	2287	226427
50	2326	225789
51	2363	224927
52	2401	224158
53	2440	223489
54	2476	222679
55	2512	221810
56	2551	221252
57	2588	220527
58	2630	220261
59	2670	219883
60	2707	219250
61	2745	218683
62	2759	216259
63	2796	215657
64	2832	215030
65	2870	214582
66	2909	214207
67	2945	213644
68	2981	213103
69	3022	212847
70	3059	212373
71	3094	211813
72	3132	211450
73	3170	211028
74	3206	210592
75	3244	210225
76	3282	209842
77	3318	209384
78	3354	208970
79	3393	208718
80	3430	208338
81	3466	207920
82	3504	207587
83	3540	207198
84	3575	206774
85	3617	206720
86	3656	206493
87	3694	206216
88	3733	205988
89	3769	205647
90	3807	205407
91	3846	205224
92	3883	204915
93	3920	204628
94	3958	204399
95	3995	204103
96	4032	203813
97	4070	203585
98	4108	203374
99	4143	203045
100	4181	202826
101	4219	202611
102	4257	202403
103	4294	202152
104	4331	201938
105	4368	201675
106	4404	201415
107	4443	201285
108	4480	201057
